"","x"
"1","KRT13"
"2","CRH"
"3","RIC3"
"4","SYT8"
"5","SPOCD1"
"6","LY6D"
"7","TNNT3"
"8","KRT20"
"9","CLCA4"
"10","PRKY"
"11","GPR78"
"12","TFF1"
"13","ERN2"
"14","ADH1C"
"15","PLXNB3"
"16","PLCH2"
"17","CLIC6"
"18","KRT5"
"19","TRIM31"
"20","PHGR1"
"21","LINC00967"
"22","RHEX"
"23","MROH2A"
"24","CRTAC1"
"25","MST1R"
"26","ONECUT2"
"27","C7"
"28","COL22A1"
"29","IFITM10"
"30","GABBR1"
"31","HOXB5"
"32","SOX15"
"33","NEIL1"
"34","TNNI2"
"35","CPZ"
"36","LGALS4"
"37","PPP1R1B"
"38","KBTBD12"
"39","COL9A2"
"40","GIPR"
"41","S100A3"
"42","ARHGAP40"
"43","GABRE"
"44","FGFR3"
"45","EPOR"
"46","FUT3"
"47","CCDC9B"
"48","CYP4F35P"
"49","IFNE"
"50","SCNN1A"
"51","WNT10A"
"52","CDH23"
"53","ADAM28"
"54","KRT15"
"55","PAPLN"
"56","COL17A1"
"57","MISP"
"58","GATA2"
"59","MICALCL"
"60","NRXN3"
"61","ARHGEF4"
"62","TRAF5"
"63","MIR5047"
"64","COL27A1"
"65","LINC01518"
"66","PLAG1"
"67","LINC00865"
"68","HR"
"69","ST3GAL5"
"70","C10orf99"
"71","LINC00265"
"72","LOC613266"
"73","LOC728392"
"74","CERNA2"
"75","SHH"
"76","PRAP1"
"77","TMEM184A"
"78","PRICKLE4"
"79","PTN"
"80","APOL1"
"81","C2orf66"
"82","TMPRSS4"
"83","GRIN2D"
"84","STK36"
"85","PP14571"
"86","VTN"
"87","CMYA5"
"88","CAPN3"
"89","MAP3K12"
"90","TH"
"91","TNS4"
"92","NPR2"
"93","LOC692247"
"94","IQCN"
"95","EBF4"
"96","KRT7-AS"
"97","MB"
"98","PERM1"
"99","SLC14A1"
"100","ARHGAP27P1"
"101","HAS3"
"102","MTRF1"
"103","ALS2CL"
"104","VIPR1"
"105","HERC2P9"
"106","SLC15A1"
"107","BAIAP2L2"
"108","PPP1R9A"
"109","HSF4"
"110","PRSS50"
"111","GTF2IP20"
"112","DNASE1L2"
"113","ATP8A1"
"114","INTU"
"115","GPR173"
"116","HPN"
"117","CXCL9"
"118","PWRN1"
"119","MAP3K7CL"
"120","LINC01341"
"121","LRFN4"
"122","KIAA1456"
"123","KLHL3"
"124","SYT7"
"125","STAG3L5P-PVRIG2P-PILRB"
"126","LOC150776"
"127","CNTN3"
"128","LRP5L"
"129","CEP126"
"130","ABCA5"
"131","RGL4"
"132","PLA2G4F"
"133","TFAP2A"
"134","TMEM74B"
"135","DUOX2"
"136","ATP2C2-AS1"
"137","CSAD"
"138","IGLL5"
"139","NINL"
"140","RNF207"
"141","EVC2"
"142","HOXB-AS3"
"143","MMP28"
"144","GSDME"
"145","PAQR6"
"146","PLEKHG4"
"147","MIRLET7BHG"
"148","PKD1"
"149","TNFRSF14-AS1"
"150","CACNB1"
"151","TTR"
"152","ARHGAP6"
"153","HOTAIRM1"
"154","CCDC191"
"155","WDR27"
"156","RHBG"
"157","FER1L4"
"158","CD36"
"159","MCTP2"
"160","SPAG17"
"161","LFNG"
"162","PLEKHG5"
"163","PM20D1"
"164","C6"
"165","SMIM5"
"166","SLC52A1"
"167","RARRES1"
"168","PLCXD3"
"169","CAPNS2"
"170","KRTAP5-10"
"171","S100A9"
"172","TTC14"
"173","TNRC6C-AS1"
"174","AHSA2"
"175","SULT1C2"
"176","RAPGEF3"
"177","PLEKHH2"
"178","FAT2"
"179","CHMP1B2P"
"180","TMEM44"
"181","KLHL29"
"182","MMP9"
"183","MROH7"
"184","ALOX12P2"
"185","MROH3P"
"186","LINC01629"
"187","HERC2P2"
"188","LDOC1"
"189","OR13A1"
"190","KRTAP5-8"
"191","RRN3P1"
"192","PDE10A"
"193","LOC100128770"
"194","AGAP6"
"195","SNPH"
"196","PROM2"
"197","MAPK8IP3"
"198","AGPAT4"
"199","CPAMD8"
"200","EPHX3"
"201","HOXB3"
"202","TTLL3"
"203","LINC01061"
"204","PCNX2"
"205","TRERF1"
"206","PTOV1-AS2"
"207","APBB1IP"
"208","CYP4F12"
"209","ABCC3"
"210","DQX1"
"211","PRSS1"
"212","TMEM198"
"213","SEMA3B"
"214","ADAMTS15"
"215","MGP"
"216","SCART1"
"217","SHISA2"
"218","RINL"
"219","UBE2CP5"
"220","IL33"
"221","CELF6"
"222","KCTD15"
"223","LCAT"
"224","FAM83C"
"225","EMB"
"226","CYP2E1"
"227","GPC3"
"228","LINC01410"
"229","GPRC5C"
"230","RBBP8NL"
"231","SLC23A3"
"232","CYP3A5"
"233","CARD14"
"234","CCNL2"
"235","MAMDC4"
"236","SYNGR1"
"237","CEMP1"
"238","NPAP1"
"239","TLE4"
"240","ATP2B4"
"241","MESP1"
"242","SPTBN5"
"243","SPP1"
"244","TIMP3"
"245","ARL14"
"246","PCSK4"
"247","HSD3B1"
"248","KRBOX1"
"249","ARMCX2"
"250","SLC26A5"
"251","PLA2G7"
"252","SPRR1A"
"253","APBB3"
"254","NRBP2"
"255","DENND6B"
"256","STARD5"
"257","LOC102724323"
"258","LOC100652768"
"259","NSG1"
"260","PDE1B"
"261","PLXNB1"
"262","LOC100288203"
"263","CYP4F29P"
"264","NUPR1"
"265","NME5"
"266","C1QTNF6"
"267","OVCH2"
"268","TTC21A"
"269","CYP2R1"
"270","HOXA2"
"271","GAS6-AS1"
"272","LPA"
"273","GUSBP11"
"274","QRICH2"
"275","HOXA1"
"276","NPFF"
"277","ALOX5"
"278","TUBBP5"
"279","MPPED2"
"280","RIPK3"
"281","EMX2OS"
"282","LOC155060"
"283","H1FX-AS1"
"284","MAPK15"
"285","ITGB7"
"286","CZ1P-ASNS"
"287","LOC653160"
"288","CRYBG2"
"289","SNAI3"
"290","CERS1"
"291","SLCO4A1"
"292","CATSPERE"
"293","MIR205"
"294","SH3GL2"
"295","AGR3"
"296","PRKXP1"
"297","DCUN1D2"
"298","UBQLNL"
"299","TRPV1"
"300","PRSS3"
"301","CLDN3"
"302","IL17RA"
"303","NME3"
"304","DOPEY1"
"305","AOC2"
"306","LOC100288778"
"307","SLC5A9"
"308","ANKRD19P"
"309","PMP22"
"310","KMT5C"
"311","HLA-J"
"312","LOC171391"
"313","PPIEL"
"314","C8orf58"
"315","DGAT2"
"316","LINC00240"
"317","B3GNT3"
"318","HSP90AB4P"
"319","LRRC37A3"
"320","RELL2"
"321","ADAMTS13"
"322","FAM181B"
"323","AKR1C4"
"324","C15orf48"
"325","SDHAP3"
"326","ADCY4"
"327","KCNK5"
"328","SRRM3"
"329","LRRC6"
"330","PLXDC1"
"331","LINC00954"
"332","SREBF1"
"333","C1RL-AS1"
"334","SPRR1B"
"335","LINC00504"
"336","ANKRD24"
"337","FANK1"
"338","PGBD1"
"339","SUZ12P1"
"340","IL11RA"
"341","SNORA3B"
"342","KCNQ1OT1"
"343","NMNAT3"
"344","WDR97"
"345","OVGP1"
"346","PKIB"
