"";"Sample1";"Sample2";"Sample3";"Sample4";"Sample5";"Sample6";"Sample7";"Sample8";"Sample9";"Sample10";"Sample11";"Sample12";"Sample13";"Sample14";"Sample15";"Sample16"
"HMGB2";9,75649547581596;7,64606635761526;8,25907394438962;9,97906020608347;1,07898322248678;8,85369313463258;1,07898322248678;8,63825163430295;1,07898322248678;1,07898322248678;7,75606393014178;1,07898322248678;1,07898322248678;9,14544046456533;1,07898322248678;1,07898322248678
"RAB6A";10,9897862248275;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;11,2162455399717;1,07898322248678;10,8023592080112;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678
"CRABP2";10,0703900724563;8,86488902590249;10,4225481881836;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;8,13593707590288;7,10789395033523;1,07898322248678;1,07898322248678;1,07898322248678;9,11612625076778;7,38907963798196
"COX6A1";1,07898322248678;8,79569915694866;8,29771598463119;9,40081586458231;8,37763825358139;8,44963239641189;9,50225554365826;10,1441231476223;9,32885583276337;1,07898322248678;8,44488318459019;1,07898322248678;1,07898322248678;1,07898322248678;9,30308140519968;1,07898322248678
"HNRNPH2";1,07898322248678;9,40750476788362;1,07898322248678;1,07898322248678;1,07898322248678;9,76987230967258;1,07898322248678;1,07898322248678;9,80062566254177;1,07898322248678;9,2150031498796;1,07898322248678;1,07898322248678;1,07898322248678;8,74602675748593;1,07898322248678
"ST13P4";1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;9,77168388254196;7,26684972072168;1,07898322248678;9,5737963456347;1,07898322248678;1,07898322248678;9,2974261306245;9,13990143135444;1,07898322248678;8,80599062787844
"ADH1B";1,07898322248678;1,07898322248678;13,0053114615712;1,07898322248678;1,07898322248678;1,07898322248678;7,8859303957554;1,07898322248678;1,07898322248678;9,51292884972571;1,07898322248678;8,22801647530468;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678
"BAZ1A";1,07898322248678;9,39889171710633;6,73172609256925;4,75690845267969;9,27225679650478;1,07898322248678;10,3604871120043;9,86086244439711;7,59583766456592;9,01607690677927;1,07898322248678;1,07898322248678;1,07898322248678;8,78251081958866;1,07898322248678;1,07898322248678
"CD63";1,07898322248678;8,74021114485341;1,07898322248678;9,13624216217851;10,6375388101547;9,08972805190463;8,37781001811311;8,70525854404649;9,09275076708403;1,07898322248678;7,84204229621311;1,07898322248678;1,07898322248678;8,79157678814261;1,07898322248678;8,88082491072894
"GNAS";1,07898322248678;1,07898322248678;1,07898322248678;9,44929778091385;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;9,90411370642614;1,07898322248678;8,05739970902776;1,07898322248678;1,07898322248678;7,51019745721262;1,07898322248678;11,0766608848537
"COL1A1";8,48414571163759;8,64363405278562;9,57176341204968;7,69020418581335;8,0866626802778;1,07898322248678;11,3202676337589;1,07898322248678;1,07898322248678;11,1592051679858;7,36638965490954;9,744602221589;9,41446796274432;1,07898322248678;1,07898322248678;6,99417645894932
"SH3BGRL";7,74385000611091;8,89778584180686;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;8,88506274230649;8,7461432004228;1,07898322248678;1,07898322248678;1,07898322248678;8,95449695075567;9,3309040674366;1,07898322248678;1,07898322248678;8,68995657322537
"GNAI1";1,07898322248678;1,07898322248678;10,156129450149;9,18133279575968;1,07898322248678;1,07898322248678;1,07898322248678;9,90412114738547;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;10,260319252649;1,07898322248678;1,07898322248678;1,07898322248678
"RPL35";1,07898322248678;9,85775931842761;9,92585284337968;1,07898322248678;1,07898322248678;9,64087079088626;10,0411182180737;10,097453876645;9,98952077057143;1,07898322248678;8,37991790069851;10,1954363416722;10,2197861820022;9,41743446040738;10,429272158206;9,67939624704484
"PTGR1";9,3550220475298;1,07898322248678;8,37277494262322;7,10399391822302;1,07898322248678;1,07898322248678;8,49718919648975;1,07898322248678;1,07898322248678;1,07898322248678;7,50731780452385;1,07898322248678;9,49715389954101;9,24871096035937;7,72861154422874;10,1984067539954
"TAGLN";9,63793125407781;8,38162040294506;8,75365051869523;9,46169163602828;9,92350632288068;1,07898322248678;11,3192360314739;8,5192381228423;1,07898322248678;11,5454183523084;7,14858869071051;11,2942036106221;9,18661084882268;1,07898322248678;1,07898322248678;7,23788378881495
"UGT1A10";1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;7,90387352982118;1,07898322248678;8,60641439347978;8,72447252321769;9,34719363101549;8,72134582737936;1,07898322248678;1,07898322248678;9,89835573660743;1,07898322248678;1,07898322248678
"C10orf67";1,07898322248678;8,0111481604491;1,07898322248678;8,56283322526498;1,07898322248678;9,26803291672689;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;9,03905102094992;8,43240317743129;8,55785217064406;1,07898322248678;9,0189050813807
"TPSAB1";1,07898322248678;1,07898322248678;7,86669497021283;1,07898322248678;6,54687044339042;1,07898322248678;8,73893079111443;1,07898322248678;1,07898322248678;11,6684702994533;1,07898322248678;10,033757634057;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678
"UPK3BL1";1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;9,28582474413054;8,06163612063794;9,9495826168603;8,36591834980808;1,07898322248678;8,68588296488174;8,80397770396879;1,07898322248678
"COL14A1";8,03015938139242;6,62778237709718;8,44723237856174;5,52897028646656;8,25352398165009;1,07898322248678;9,42323464751006;7,99235708369029;1,07898322248678;10,9678431433559;1,07898322248678;9,57601989036828;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678
"RAB10";10,9053466284631;10,4559732025282;1,07898322248678;1,07898322248678;10,882863541413;10,5668523636265;10,6046847361896;10,5878140338618;10,9685524539956;10,7607666586953;10,6122703023222;1,07898322248678;10,7232853094189;10,7066835356688;10,6336051630115;10,694400587033
"HMGB3";9,25367050444157;8,5282807208454;8,670013060587;8,67364173765254;8,8985427721517;8,33465351604636;1,07898322248678;1,07898322248678;7,7026180095439;1,07898322248678;9,24585898125736;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;8,18740305290342
"CYC1";8,46924972402015;1,07898322248678;9,23417398365821;9,26181507070884;1,07898322248678;1,07898322248678;7,45372842484611;9,15584428028587;8,52064955434602;1,07898322248678;8,16284493631097;1,07898322248678;8,63701830310938;1,07898322248678;8,4846771488424;1,07898322248678
"TPM1";10,1525130434671;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;10,3001782762579;1,07898322248678;1,07898322248678;11,5496444952742;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678
"CBX3";9,74158276322453;8,3889492100841;9,95132052728302;8,97641180994282;1,07898322248678;7,24573909913579;5,76137602164699;8,45097601598996;8,4268861932301;1,07898322248678;1,07898322248678;1,07898322248678;8,67578577302347;1,07898322248678;1,07898322248678;1,07898322248678
"FAM162A";8,53246852029256;1,07898322248678;9,83744108098169;9,24229691416245;8,63160100588593;1,07898322248678;8,44187946752337;1,07898322248678;10,2339512662809;8,84566918728747;9,8206005129403;1,07898322248678;8,71632447276581;8,60655126982257;8,98840641369938;1,07898322248678
"UBE2D3";1,07898322248678;8,60424148829047;1,07898322248678;8,18867454219392;8,65697778538479;8,71208004113941;1,07898322248678;1,07898322248678;8,7597616082294;9,07094409018039;9,00582116723877;8,85541776003994;9,28787949909145;1,07898322248678;8,68726152416111;1,07898322248678
"TAF15";8,16925626190532;8,82498305167419;8,59389620464506;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;8,22967518757252;8,31913301935279;1,07898322248678;9,19898831877325;1,07898322248678;8,20516021360072;8,63983618169211
"EIF4A3";8,88707081531151;9,00173641364346;9,19513720291225;9,26230922074729;9,07914100946326;9,62935622444855;8,55636464157658;9,20844145059904;8,93497880085813;1,07898322248678;9,33581341405639;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;9,10908453658542
"MSN";10,5685288026814;8,8020015813387;10,4323465677529;8,8368422785696;9,03310414011413;9,4378810088217;10,0930840429505;9,36487343949461;1,07898322248678;9,66710868471545;9,07794293809765;1,07898322248678;1,07898322248678;1,07898322248678;10,3714066028872;9,34971769749575
"PCMT1";8,91543812400404;1,07898322248678;9,05295952781191;1,07898322248678;1,07898322248678;1,07898322248678;9,60976081976352;1,07898322248678;1,07898322248678;1,07898322248678;7,10303231586936;1,07898322248678;1,07898322248678;1,07898322248678;10,026526116491;6,92922175806925
"MTCH2";8,54144799064224;1,07898322248678;9,32150643681786;7,01878894554889;1,07898322248678;8,10334154224965;1,07898322248678;1,07898322248678;9,35850676097075;1,07898322248678;8,43824530179866;1,07898322248678;1,07898322248678;1,07898322248678;8,73726847834417;1,07898322248678
"NANS";8,94039548847405;1,07898322248678;9,22926782867471;1,07898322248678;1,07898322248678;8,4693647779573;1,07898322248678;7,99157857755283;8,11236981327267;1,07898322248678;8,34804438558653;1,07898322248678;8,34976837061713;1,07898322248678;8,29665692302802;1,07898322248678
"PYGL";7,85549153817511;1,07898322248678;1,07898322248678;7,21447905955401;1,07898322248678;1,07898322248678;8,20982323099213;1,07898322248678;7,3553986910418;1,07898322248678;1,07898322248678;10,3157242120197;8,8542562551879;9,37300302244462;7,5856096452945;1,07898322248678
"BHMT";1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;6,95383132888166;7,39710208444641;1,07898322248678;1,07898322248678;8,99318769756126;1,07898322248678;8,94365497219265;1,07898322248678;9,20431800404702;1,07898322248678;9,83679588040954;7,59593959618748
"UPK1B";1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;10,2746518926277;1,07898322248678;9,8680739847459;1,07898322248678;1,07898322248678;8,33154660055559;9,7803959450114;1,07898322248678
"UPK2";1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;9,4821935922861;1,07898322248678;10,0528620933453;1,07898322248678;1,07898322248678;8,19496863567329;9,00656913636455;8,25526574824026
"PHGDH";7,63126507939447;1,07898322248678;1,07898322248678;8,87410151828413;1,07898322248678;10,0075293170881;7,61343172973532;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;7,35894535806059;9,37877938799687;1,07898322248678;7,96705390548783;1,07898322248678
"HMGA1";1,07898322248678;8,06585315919146;1,07898322248678;1,07898322248678;1,07898322248678;7,62535811637405;8,53356847285602;9,19430500956568;9,09535519515985;1,07898322248678;1,07898322248678;1,07898322248678;9,10697736974307;7,97895239462384;8,32670904314986;8,24691302213127
"MAGOH";8,29128030805758;9,07109692399458;8,19152406008656;9,02631973917448;8,3929351431814;9,0304359908579;7,81222307870584;8,8163335827401;7,40893729392148;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678
"CAV1";1,07898322248678;1,07898322248678;7,85188980425978;7,16801788018121;1,07898322248678;4,75048948122343;10,1056243207156;1,07898322248678;1,07898322248678;9,83412045739054;1,07898322248678;9,43483403192051;8,07962683230999;1,07898322248678;1,07898322248678;7,24947689108913
"SLC2A1";5,06343119102742;8,71126710095745;1,07898322248678;9,6979490937961;10,084746765781;7,76162617772262;7,72672671264364;10,6625085656748;9,1450749493614;1,07898322248678;10,1267028323694;8,51675746386671;1,07898322248678;10,3292806907403;10,2520732902728;1,07898322248678
"TSPO";1,07898322248678;1,07898322248678;8,4286217229693;6,73974266908545;9,12278913269616;8,11344108769874;7,54456905969503;1,07898322248678;1,07898322248678;9,08736233791989;9,34631722618526;1,07898322248678;1,07898322248678;9,11131921235848;8,84471958725077;9,16104501563494
"SNU13";8,05133400939112;8,88660691861206;8,97509431469364;8,99386365181247;9,38681509159423;8,82588482127383;1,07898322248678;1,07898322248678;9,35056898044082;1,07898322248678;8,65114995365366;1,07898322248678;9,87298411020743;8,84257445809349;1,07898322248678;8,64951281342584
"EIF4A2";9,62001228469671;9,58360327913286;10,003424977984;9,36748326654082;9,35640345268732;10,1275092092922;9,32955657272328;1,07898322248678;9,6893521233781;1,07898322248678;9,74051248095839;9,0838504888537;9,52441592088226;8,8600379028098;1,07898322248678;1,07898322248678
"PRELP";1,07898322248678;7,49512392028338;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;9,72015458141449;1,07898322248678;1,07898322248678;10,4898267896513;7,08196000509351;9,34318977411932;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678
"PTMS";9,26633123009227;6,01017431001567;10,200215051124;10,1089540768366;6,41894274100937;7,8123019917623;8,60754854349839;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;6,37988290084271;8,150479137678
"PCBD1";1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;8,2089157479417;9,50191859225954;9,33739826005967;7,97994278623364;7,49883876598826;9,00153904048552
"UGT1A6";7,66715611280897;8,65421592904045;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;8,8512373490198;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;8,05529998966341;9,09743821014979;1,07898322248678;9,30810337503615
"GPD1L";1,07898322248678;1,07898322248678;7,78824310539345;9,02804495678406;8,34798318932972;8,04896579090138;1,07898322248678;1,07898322248678;9,71323479075822;8,94577960402278;9,61706936391824;1,07898322248678;1,07898322248678;8,39857163482572;8,65888782245747;5,77020679121113
"CAVIN1";7,56547333663665;1,07898322248678;8,95869402313102;7,33627734323373;8,42619924412025;1,07898322248678;9,87591180774776;7,92281156694811;1,07898322248678;9,7875635489375;6,64022941928267;9,47823217854904;8,39393325819135;1,07898322248678;1,07898322248678;1,07898322248678
"BANF1";7,95066803149443;1,07898322248678;9,36860219503385;9,57528954833981;1,07898322248678;7,74598604470256;8,73267128975098;1,07898322248678;1,07898322248678;1,07898322248678;8,11155840157237;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;6,87497951965059
"FBLN1";8,25480392672772;1,07898322248678;8,37784446789998;1,07898322248678;9,20495212143445;9,03865711183506;7,59155768757035;1,07898322248678;1,07898322248678;9,00446866607303;1,07898322248678;8,01762138263784;8,10426511849879;1,07898322248678;7,85630566480065;1,07898322248678
"S100A9";7,5603471046486;1,07898322248678;8,20267415849491;1,07898322248678;7,53118889374391;8,20440663052939;8,75364681812801;9,36644110716364;1,07898322248678;1,07898322248678;9,0204327511456;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678
"COX5B";1,07898322248678;8,92789215351432;9,62893013842355;8,71420332437688;8,67149404122884;1,07898322248678;8,78110317530559;9,51068502857445;9,53143986759921;1,07898322248678;8,34772145353202;1,07898322248678;9,04703489192474;8,21028669090528;8,53679646215343;1,07898322248678
"H2BFM";1,07898322248678;9,54545341915002;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;10,8427792432203;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;7,53124865227419;9,57262197157379;1,07898322248678;1,07898322248678
"DYNC1I2";1,07898322248678;7,90882526405959;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;7,19067131512299;8,20933384815747;1,07898322248678;1,07898322248678;8,08889085628025;9,34845133044595;8,53649103015256;8,84465506278997;8,75874834278844;8,3079080455734
"BGN";8,3043904823338;7,97171022535219;8,95835214012059;8,09376778853582;6,38703945762069;1,07898322248678;8,75605644375228;9,31780362970557;1,07898322248678;9,8028685608708;8,41554908509659;8,5127382325569;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678
"DHRS2";8,48318873430882;1,07898322248678;13,5161400186342;12,8706735373985;10,4989202256368;9,94656367003602;11,1831070435054;1,07898322248678;11,101471841057;10,6262389673438;12,8753571444325;12,3824835071473;10,6943654648634;12,1146143634788;12,2972668728196;11,4819768046645
"CHRM1";1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;6,93733780210503;7,08463402083685;7,96052304235705;1,07898322248678;8,04339423551187;9,17185104281116;9,24019052275615;9,51112205340757;1,07898322248678;1,07898322248678
"RAC3";8,29340470823855;8,88653815844016;1,07898322248678;7,8291209899844;1,07898322248678;8,93314644047051;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;8,53752551241563;8,85496935383765;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678
"CTSH";1,07898322248678;8,20955132984695;8,85831057013351;1,07898322248678;1,07898322248678;7,58631834426919;8,14818229322703;9,23315756461879;1,07898322248678;1,07898322248678;7,67147880824342;1,07898322248678;1,07898322248678;8,41820672832315;8,44211292492144;8,60750160801993
"HNRNPA1";10,3234363933705;10,441424605762;10,4118654242244;10,622575075436;10,7764519069743;10,1175728610634;9,94190919036676;11,5166149155532;9,28481693401122;9,42360887600552;10,2507981472025;1,07898322248678;10,0064989007351;1,07898322248678;1,07898322248678;10,4256875946114
"H1FX";8,80001208157179;1,07898322248678;1,07898322248678;9,51967548820552;8,12061271609214;1,07898322248678;7,64259509757978;8,76528680809288;8,26255705923127;1,07898322248678;7,05201854825496;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678
"RAB25";1,07898322248678;7,45023661698231;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;1,07898322248678;9,36797536391778;1,07898322248678;8,67432385393314;1,07898322248678;1,07898322248678;8,43987431349391;8,77567515416709;8,36807767449262
