"";"X";"Sample1";"Sample2";"Sample3";"Sample4";"Sample5";"Sample6";"Sample7";"Sample8";"Sample9";"Sample10";"Sample11";"Sample12";"Sample13";"Sample14";"Sample15";"Sample16"
"1";"HIST2H2AB";15,3268436737412;13,8996361624431;15,0833701162124;15,678225351194;15,0317525886362;14,869008037415;15,0910085488961;14,6729462658042;1,0763599846776;1,0763599846776;14,5201556343156;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776
"2";"KRT79";13,0728950248677;13,5310267300812;11,6720642056207;1,0763599846776;13,082586432095;1,0763599846776;1,0763599846776;12,9678516583813;1,0763599846776;1,0763599846776;1,0763599846776;13,1495613980548;13,1296096000021;14,2476635578356;13,6470216701925;1,0763599846776
"3";"HIST1H3A";14,1957041367837;13,4528829710899;14,3509146897808;14,1286605238541;13,616562981876;13,9584302654404;14,0339594686434;14,193057107014;1,0763599846776;1,0763599846776;13,7542049388546;1,0763599846776;1,0763599846776;13,1769417774391;1,0763599846776;13,3374875847197
"4";"TUBA1B";13,7222815279429;13,0515104476807;1,0763599846776;13,3128273925636;1,0763599846776;12,9295031662818;12,7704526087819;12,8431820010687;12,3946758004877;1,0763599846776;12,7295927206299;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;12,9093787494322
"5";"TUBA1C";1,0763599846776;1,0763599846776;12,6307016313361;1,0763599846776;12,9347351921681;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;12,5319561320948;1,0763599846776;12,0810569837425;12,8443335897026;12,8726666307069;12,4597646092633;12,9093787494322
"6";"POTEF";14,7658903053326;1,0763599846776;14,7902582701928;14,1439087697726;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;13,9829092187062;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776
"7";"KRT5";1,0763599846776;12,87444133752;11,5768099864288;1,0763599846776;1,0763599846776;1,0763599846776;13,4227932574391;12,2377741322718;1,0763599846776;13,2802244249252;13,5395297249023;12,0455480900026;14,9802835614446;10,7923102481915;13,1453902253106;13,414408113022
"8";"TUBA4A";1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;12,8983339374863;12,6454092362123;1,0763599846776;1,0763599846776;12,4704055392003;1,0763599846776;1,0763599846776;1,0763599846776;12,5181234638767;1,0763599846776;12,7811437049826
"9";"TRAP1";1,0763599846776;11,6400205252909;1,0763599846776;11,3941657900579;13,2993332132383;1,0763599846776;1,0763599846776;1,0763599846776;10,8152779758184;1,0763599846776;11,2772796030649;1,0763599846776;11,697866661554;1,0763599846776;11,471061627252;1,0763599846776
"10";"POTEE";1,0763599846776;15,2478393034525;1,0763599846776;1,0763599846776;1,0763599846776;14,4751037859083;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;14,0763622317748
"11";"KRT75";1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;12,6095708325778;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;14,0900846252026;12,3725851837925;1,0763599846776;1,0763599846776;13,5371319816065;1,0763599846776
"12";"OSBPL2";1,0763599846776;13,5013348356408;1,0763599846776;1,0763599846776;12,2707291711527;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;7,8988682224441;1,0763599846776;12,5662231871808;13,4338886804873
"13";"KRT6A";1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;12,021452647592;1,0763599846776;12,5075977854864;13,1265908747165;1,0763599846776;13,7548680271882;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776
"14";"EEF1A2";1,0763599846776;1,0763599846776;12,9772654552958;12,4552758232949;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;13,0315634111832;12,3117395240297;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776
"15";"GSTM1";7,61254581648899;1,0763599846776;1,0763599846776;1,0763599846776;13,9566528857021;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;7,81565082302615;13,6578785195;1,0763599846776;9,65083614100389;13,3497715254234;6,2925505538195;1,0763599846776
"16";"KRT20";12,9013257663297;13,0320953544241;11,0533536976419;11,2441201081395;11,1066426347757;11,1125483316907;1,0763599846776;1,0763599846776;13,6070084165457;1,0763599846776;13,2534740647316;13,2824678626341;13,1475688820134;13,0348176778375;12,8357903075554;1,0763599846776
"17";"KRT10";11,1583600481107;12,3921906670286;1,0763599846776;1,0763599846776;1,0763599846776;11,1754922153362;12,6018516451955;1,0763599846776;1,0763599846776;11,970710340124;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776
"18";"H3F3A";1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;13,616562981876;1,0763599846776;1,0763599846776;14,193057107014;13,4750003155915;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776
"19";"NME1";1,0763599846776;10,8218286922345;11,6210460949642;11,4389870850813;11,2720103033326;10,4591078408322;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;12,5440336573574;9,58798279556789;1,0763599846776;1,0763599846776;10,5748098367302;10,0365252322398
"20";"KRT13";1,0763599846776;13,550531385452;11,6031578387015;1,0763599846776;1,0763599846776;11,8804647789336;13,3412472103828;13,1278544674116;13,9738467888435;13,6383656206721;13,846053009641;13,5637633751581;14,2825548040745;13,7060431460618;13,6787894755705;14,0499647382819
"21";"RAB1A";1,0763599846776;10,7092492090128;10,5531512231128;10,4413877204037;11,0277247803248;10,8030158832417;10,8001455750614;10,715964882406;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;10,694724426067;1,0763599846776
"22";"MYH11";11,2923556637474;1,0763599846776;10,5785917562382;10,3785212155641;10,4556789437548;1,0763599846776;10,3334853986032;1,0763599846776;1,0763599846776;11,1554354995003;1,0763599846776;10,4062952671959;9,94552336291711;1,0763599846776;1,0763599846776;1,0763599846776
"23";"DES";9,18357510758333;1,0763599846776;1,0763599846776;9,70008406973986;10,7368543185444;1,0763599846776;11,6914184676865;1,0763599846776;1,0763599846776;11,8256025569227;1,0763599846776;11,565290780913;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776
"24";"S100A2";1,0763599846776;11,8066103537707;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;11,0661335749532;10,7227684386751;9,72262944457592;8,12308582815862;1,0763599846776;1,0763599846776;11,3291865363404;9,10172750972042;8,87191381316502;11,4128406772589
"25";"FAM69A";1,0763599846776;1,0763599846776;1,0763599846776;9,76259546601676;1,0763599846776;1,0763599846776;1,0763599846776;11,0452520385514;1,0763599846776;1,0763599846776;9,8128679655598;11,6531244691208;1,0763599846776;11,961144058763;8,93547504823178;1,0763599846776
"26";"FABP4";1,0763599846776;1,0763599846776;7,37586281735806;14,2760181163073;1,0763599846776;1,0763599846776;8,87139131022933;10,1758465595617;1,0763599846776;10,136617248728;1,0763599846776;10,2575231068065;11,8662461461267;9,51988771241535;9,79724680857039;8,6510203911325
"27";"ACTC1";1,0763599846776;15,5762615906296;14,9918860651237;1,0763599846776;15,0540357414036;14,6793877895488;15,6333362236413;15,0499475998864;14,3768997435838;15,4863600171962;14,2244409997058;15,4248674792804;14,9969114528981;14,200995621964;14,4225690030676;14,6219665140583
"28";"AKR1C2";13,2385033250895;1,0763599846776;1,0763599846776;11,69240753004;9,95710711075021;10,9714262273247;10,9506644673537;10,267091933226;1,0763599846776;1,0763599846776;9,7285735543499;9,81369837430625;1,0763599846776;11,5610572716362;9,40473563547654;11,1375429326549
"29";"MYL9";1,0763599846776;1,0763599846776;1,0763599846776;9,8214309410953;9,99966397565566;1,0763599846776;10,8770151522363;1,0763599846776;1,0763599846776;10,8150283527448;1,0763599846776;10,6689077579678;9,86901599053212;1,0763599846776;1,0763599846776;1,0763599846776
"30";"CKB";8,71163761674284;1,0763599846776;1,0763599846776;11,4320907369533;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;9,86659887105005;8,32346928134536;11,2024472722444;1,0763599846776;1,0763599846776;11,3538585463571;9,10804035796493;1,0763599846776
"31";"HIST1H2AH";1,0763599846776;14,2258190357092;14,9418969767272;1,0763599846776;15,0062467107062;14,9322811106762;14,9262744939896;14,7705313282538;14,5572540238027;14,5674441616943;14,4022381279441;14,4317112699299;14,6270991077476;14,043563398718;13,9004437605668;14,1361759158096
"32";"S100A10";9,99573701982438;10,0261848553207;9,79308976135519;9,67856608166414;1,0763599846776;9,94398235225731;11,6966829619056;1,0763599846776;10,7451068570653;10,779323766702;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;8,29504536302122;11,1505391458745
"33";"KRT1";9,75440326856776;9,74436585151645;1,0763599846776;1,0763599846776;1,0763599846776;10,2880309189902;9,84035581049905;9,51283686216668;9,88818488333;9,29230401640721;1,0763599846776;1,0763599846776;1,0763599846776;11,0897116637224;1,0763599846776;1,0763599846776
"34";"TPM2";1,0763599846776;10,506728718384;9,20077974740099;9,95119896319186;10,1831647592466;9,63808102242656;1,0763599846776;9,13176371667909;1,0763599846776;11,635487257327;9,23520308588476;11,0452826631657;10,1486290141431;1,0763599846776;1,0763599846776;1,0763599846776
"35";"HLA-A";1,0763599846776;11,9815849398383;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;10,0391526337237;11,5205113805176;1,0763599846776;1,0763599846776;10,2504899729788;1,0763599846776;8,82396575010547;1,0763599846776;1,0763599846776;1,0763599846776
"36";"RAB11B";9,54599273410608;1,0763599846776;1,0763599846776;9,27678293540372;1,0763599846776;9,67758892834535;9,64850846489204;1,0763599846776;11,0579698082586;9,74417074477989;10,248022258784;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;9,66749669141044
"37";"DCN";8,64580594664698;8,48190855637851;8,87426597337857;1,0763599846776;9,05859250557574;1,0763599846776;11,2062653617202;1,0763599846776;1,0763599846776;11,3573618536235;1,0763599846776;10,3039189366754;9,38065826784075;1,0763599846776;1,0763599846776;1,0763599846776
"38";"PRDX4";10,7180306731422;1,0763599846776;10,697582380152;10,7201746532988;1,0763599846776;10,1639269726779;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;9,8081848544935;1,0763599846776;1,0763599846776
"39";"FMO1";11,9264229391221;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;9,86967730466564;1,0763599846776;1,0763599846776;1,0763599846776;10,18791562511;1,0763599846776;11,7642316029317;1,0763599846776
"40";"GSTM2";1,0763599846776;1,0763599846776;1,0763599846776;9,99655607653267;13,6140591474382;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;11,7635828729719;1,0763599846776
"41";"RAB1B";11,1356771220406;1,0763599846776;10,5531512231128;10,4413877204037;1,0763599846776;1,0763599846776;10,8001455750614;10,715964882406;11,022802028113;10,8626397395676;10,8889122586811;1,0763599846776;10,3257359932666;10,8794271072554;10,694724426067;10,7848802169732
"42";"RAB11A";1,0763599846776;9,37309306679619;9,71591692241768;1,0763599846776;9,74384014616426;1,0763599846776;1,0763599846776;9,16113496526083;1,0763599846776;1,0763599846776;1,0763599846776;9,24565185815745;8,87447536815441;8,78550447041596;9,86168190494263;1,0763599846776
"43";"ANXA10";1,0763599846776;9,46998392932673;8,94141344397635;1,0763599846776;1,0763599846776;1,0763599846776;10,4208329845732;8,06695570290585;1,0763599846776;1,0763599846776;1,0763599846776;9,29555917859085;9,96977510823631;9,73463315941418;7,50090027840982;10,1741775174067
"44";"ST13";9,6881101897646;9,69417324503397;10,5332348241471;9,74526365849674;9,28997299056734;9,66626709414041;1,0763599846776;1,0763599846776;8,75422040285677;1,0763599846776;9,30107408347979;8,98630130496107;1,0763599846776;1,0763599846776;9,52634834570081;1,0763599846776
"45";"RDX";10,6295204251099;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;8,90722724366509;9,65857975629627;1,0763599846776;9,55824717547626;1,0763599846776;1,0763599846776;10,310744710104;1,0763599846776
"46";"ARF5";9,76932695647182;9,43894683368967;1,0763599846776;9,14259571010652;1,0763599846776;9,65218214261074;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;9,38776629699271;1,0763599846776;1,0763599846776;1,0763599846776;9,75858778348761;1,0763599846776
"47";"GDI1";10,6682073709196;1,0763599846776;8,82830036477732;1,0763599846776;1,0763599846776;1,0763599846776;8,7627747609816;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;8,65489391947431;1,0763599846776;8,94634657148896;9,2679077099079;9,47903699700801
"48";"SLC25A6";10,8839137367058;10,5576677778668;11,0275351919117;10,620168014569;10,1551822810205;10,8850561783851;9,97693088421799;10,7981680404649;10,4155981607362;9,68056193600909;1,0763599846776;1,0763599846776;1,0763599846776;10,4256118134747;1,0763599846776;9,8354636982727
"49";"GSTM3";7,78041101107568;1,0763599846776;10,6022561986344;10,1886910349217;12,4843080271327;9,02792989636882;8,42823030258742;1,0763599846776;1,0763599846776;9,23672309718733;11,0441751270452;5,87219771689106;1,0763599846776;12,1725235224522;10,9626018554264;8,84173639192517
"50";"NCCRP1";1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;8,69171657270362;7,86032260964077;8,36413830858809;1,0763599846776;1,0763599846776;9,4534768891428;9,38608216447165;1,0763599846776;1,0763599846776;1,0763599846776;9,69301129525963;10,7174677129612
"51";"SIGLEC16";8,39036434621634;9,62624700985085;9,9497873030112;8,28794174555241;1,0763599846776;9,07979533352919;10,2482619848057;12,8443831092306;7,78860237180914;9,79313733832564;9,32123307651349;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;9,50275314951215
"52";"HNRNPH1";9,86028066810799;1,0763599846776;9,9401684099324;10,024392916235;10,2737273639251;1,0763599846776;9,1813841914644;10,2437272050571;1,0763599846776;9,19589675842103;1,0763599846776;9,54751056254378;9,94104613970025;9,33162878375288;1,0763599846776;9,32561443767083
"53";"H2AFY2";1,0763599846776;1,0763599846776;9,46558968407038;1,0763599846776;9,5297612142416;9,01653300257713;10,5819440908852;9,36938874838623;9,1799738376083;9,82319934432726;9,01994070117934;1,0763599846776;9,77310893215182;10,6172965937878;1,0763599846776;10,2384656228445
"54";"AKR1C3";14,2322741762931;10,5916317698489;10,6964170974791;11,7251033680312;9,92562090254297;11,5142502476357;11,0505525063909;10,267091933226;1,0763599846776;1,0763599846776;9,98232248402784;10,0840294149201;1,0763599846776;12,1441709236457;9,54510109564511;11,1369624514687
"55";"JMJD7";1,0763599846776;10,5359080161614;9,29565494299492;8,61194920517808;9,24258921104938;1,0763599846776;1,0763599846776;1,0763599846776;10,4882368210853;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776
"56";"RAB13";9,42540093237393;8,6776863285488;1,0763599846776;9,34933208398296;1,0763599846776;9,0401828729407;1,0763599846776;1,0763599846776;9,26594589589635;1,0763599846776;8,97776771943058;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;9,1473011536979
"57";"RPL13AP3";1,0763599846776;1,0763599846776;1,0763599846776;9,74686988342788;1,0763599846776;9,43854192628163;9,37416501143248;1,0763599846776;9,84469291009137;9,68672090965382;9,32921099623801;9,69653893109821;9,47042021047824;9,22139396398642;9,99381979899929;9,76914129481763
"58";"CTSE";1,0763599846776;6,53203824125439;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;8,67487557313946;8,25511860073225;1,0763599846776;11,6124319360685;1,0763599846776;10,9078074150319;1,0763599846776;7,25912901850104
"59";"CRIP2";8,5981189141543;9,69704905957272;9,69624543432839;9,33744001484341;8,14830932723047;1,0763599846776;9,01247739412503;1,0763599846776;9,74775432650184;10,1686464934197;1,0763599846776;9,35833914492733;1,0763599846776;1,0763599846776;10,5332350640265;9,9474681100689
"60";"TMEM97";1,0763599846776;1,0763599846776;9,42607558413799;1,0763599846776;9,66484421863508;9,86856323510418;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;8,82473726299932;8,39509915090798;1,0763599846776;8,64814877646565;1,0763599846776;1,0763599846776
"61";"ABHD12B";7,64906535185516;10,9419013207822;7,51171738878575;10,3466469678707;7,25971874788693;9,61930611670565;1,0763599846776;10,2383067596423;1,0763599846776;1,0763599846776;6,91845814950051;1,0763599846776;7,70785363061891;1,0763599846776;10,0561274217401;1,0763599846776
"62";"TMEM165";9,98958541563873;1,0763599846776;1,0763599846776;1,0763599846776;9,15877977650599;1,0763599846776;1,0763599846776;1,0763599846776;8,05993785591273;1,0763599846776;8,75871898999651;1,0763599846776;1,0763599846776;9,06918434260171;9,04115230489233;8,31810895411492
"63";"HSD17B11";8,93281371251384;1,0763599846776;9,42862068149338;1,0763599846776;9,01394552964694;8,4870462153334;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776;8,61443488668912;1,0763599846776;8,95307070707129;8,83348108569843;1,0763599846776
"64";"OGN";7,66415441871525;1,0763599846776;7,69470478105384;1,0763599846776;1,0763599846776;1,0763599846776;10,1144134600305;1,0763599846776;1,0763599846776;11,2952751126645;1,0763599846776;9,74738255976962;1,0763599846776;1,0763599846776;1,0763599846776;1,0763599846776
